LOCATION,DATE_YEAR,DATE_MONTH,DATE_DAY,AGE_MIN,AGE_MAX,FRACTION,NOTES
AFRO:DRCONGO:KASAI,2014,5,31,0.5,9,1,
AFRO:DRCONGO:KASAI_CENTRAL,2014,5,31,0.5,9,1,
AFRO:DRCONGO:KASAI_ORIENTAL,2014,5,31,0.5,9,1,
AFRO:DRCONGO:LOMAMI,2014,5,31,0.5,9,1,
AFRO:DRCONGO:SANKURU,2014,5,31,0.5,9,1,
AFRO:DRCONGO:KINSHASA,2014,6,28,0.5,9,1,
AFRO:DRCONGO:KONGO_CENTRAL,2014,8,2,0.5,9,1,
AFRO:DRCONGO:KWANGO,2014,8,2,0.5,9,1,
AFRO:DRCONGO:KWILU,2014,8,2,0.5,9,1,
AFRO:DRCONGO:MAI_NDOMBE,2014,8,2,0.5,9,1,
AFRO:DRCONGO:BAS_UELE,2016,8,31,0.5,5,1,
AFRO:DRCONGO:EQUATEUR,2016,8,31,0.5,5,1,
AFRO:DRCONGO:HAUT_UELE,2016,8,31,0.5,5,1,
AFRO:DRCONGO:ITURI,2016,8,31,0.5,5,1,
AFRO:DRCONGO:MANIEMA,2016,8,31,0.5,5,1,
AFRO:DRCONGO:MONGALA,2016,8,31,0.5,5,1,
AFRO:DRCONGO:NORD_KIVU,2016,8,31,0.5,5,1,
AFRO:DRCONGO:NORD_UBANGI,2016,8,31,0.5,5,1,
AFRO:DRCONGO:SUD_KIVU,2016,8,31,0.5,5,1,
AFRO:DRCONGO:SUD_UBANGI,2016,8,31,0.5,5,1,
AFRO:DRCONGO:TSHOPO,2016,8,31,0.5,5,1,
AFRO:DRCONGO:TSHUAPA,2016,8,31,0.5,5,1,
AFRO:DRCONGO:KINSHASA,2016,10,10,0.5,5,1,
AFRO:DRCONGO:KONGO_CENTRAL,2016,10,10,0.5,5,1,
AFRO:DRCONGO:KWANGO,2016,10,10,0.5,5,1,
AFRO:DRCONGO:KWILU,2016,10,10,0.5,5,1,
AFRO:DRCONGO:MAI_NDOMBE,2016,10,10,0.5,5,1,
AFRO:DRCONGO:HAUT_KATANGA,2017,2,18,0.5,5,1,
AFRO:DRCONGO:HAUT_LOMAMI,2017,2,18,0.5,5,1,
AFRO:DRCONGO:KASAI,2017,2,18,0.5,5,1,
AFRO:DRCONGO:KASAI_CENTRAL,2017,2,18,0.5,5,1,
AFRO:DRCONGO:KASAI_ORIENTAL,2017,2,18,0.5,5,1,
AFRO:DRCONGO:LOMAMI,2017,2,18,0.5,5,1,
AFRO:DRCONGO:LUALABA,2017,2,18,0.5,5,1,
AFRO:DRCONGO:SANKURU,2017,2,18,0.5,5,1,
AFRO:DRCONGO:TANGANYIKA,2017,2,18,0.5,5,1,
AFRO:DRCONGO:BAS_UELE,2019,10,26,0.5,5,1,
AFRO:DRCONGO:EQUATEUR,2019,10,26,0.5,5,1,
AFRO:DRCONGO:HAUT_UELE,2019,10,26,0.5,5,1,
AFRO:DRCONGO:ITURI,2019,10,26,0.5,5,1,
AFRO:DRCONGO:MANIEMA,2019,10,26,0.5,5,1,
AFRO:DRCONGO:MONGALA,2019,10,26,0.5,5,1,
AFRO:DRCONGO:NORD_KIVU,2019,10,26,0.5,5,1,
AFRO:DRCONGO:NORD_UBANGI,2019,10,26,0.5,5,1,
AFRO:DRCONGO:SUD_KIVU,2019,10,26,0.5,5,1,
AFRO:DRCONGO:SUD_UBANGI,2019,10,26,0.5,5,1,
AFRO:DRCONGO:TSHOPO,2019,10,26,0.5,5,1,
AFRO:DRCONGO:TSHUAPA,2019,10,26,0.5,5,1,
AFRO:DRCONGO:KINSHASA,2019,11,29,0.5,5,1,
AFRO:DRCONGO:KONGO_CENTRAL,2019,11,29,0.5,5,1,
AFRO:DRCONGO:KWANGO,2019,11,29,0.5,5,1,
AFRO:DRCONGO:KWILU,2019,11,29,0.5,5,1,
AFRO:DRCONGO:MAI_NDOMBE,2019,11,29,0.5,5,1,
AFRO:DRCONGO:HAUT_KATANGA,2019,12,9,0.5,5,1,
AFRO:DRCONGO:HAUT_LOMAMI,2019,12,9,0.5,5,1,
AFRO:DRCONGO:KASAI,2019,12,9,0.5,5,1,
AFRO:DRCONGO:KASAI_CENTRAL,2019,12,9,0.5,5,1,
AFRO:DRCONGO:KASAI_ORIENTAL,2019,12,9,0.5,5,1,
AFRO:DRCONGO:LOMAMI,2019,12,9,0.5,5,1,
AFRO:DRCONGO:LUALABA,2019,12,9,0.5,5,1,
AFRO:DRCONGO:SANKURU,2019,12,9,0.5,5,1,
AFRO:DRCONGO:TANGANYIKA,2019,12,9,0.5,5,1,
AFRO:GHANA,2001,12,19,0.75,15,0.1,1 of 10 admin1
AFRO:GHANA,2002,12,11,0.75,15,0.9,9 of 10 admin1
AFRO:GHANA,2006,11,5,0.75,5,1,
AFRO:GHANA,2010,11,6,0.75,5,1,
AFRO:GHANA,2013,9,20,0.75,15,1,
AFRO:GHANA,2018,10,22,0.75,5,1,
AFRO:NIGERIA:ADAMAWA,2005,12,10,0.75,15,1,
AFRO:NIGERIA:BAUCHI,2005,12,10,0.75,15,1,
AFRO:NIGERIA:BENUE,2005,12,10,0.75,15,1,
AFRO:NIGERIA:BORNO,2005,12,10,0.75,15,1,
AFRO:NIGERIA:FCT_ABUJA,2005,12,10,0.75,15,1,
AFRO:NIGERIA:GOMBE,2005,12,10,0.75,15,1,
AFRO:NIGERIA:JIGAWA,2005,12,10,0.75,15,1,
AFRO:NIGERIA:KADUNA,2005,12,10,0.75,15,1,
AFRO:NIGERIA:KANO,2005,12,10,0.75,15,1,
AFRO:NIGERIA:KATSINA,2005,12,10,0.75,15,1,
AFRO:NIGERIA:KEBBI,2005,12,10,0.75,15,1,
AFRO:NIGERIA:KOGI,2005,12,10,0.75,15,1,
AFRO:NIGERIA:KWARA,2005,12,10,0.75,15,1,
AFRO:NIGERIA:NASARAWA,2005,12,10,0.75,15,1,
AFRO:NIGERIA:NIGER,2005,12,10,0.75,15,1,
AFRO:NIGERIA:PLATEAU,2005,12,10,0.75,15,1,
AFRO:NIGERIA:SOKOTO,2005,12,10,0.75,15,1,
AFRO:NIGERIA:TARABA,2005,12,10,0.75,15,1,
AFRO:NIGERIA:YOBE,2005,12,10,0.75,15,1,
AFRO:NIGERIA:ZAMFARA,2005,12,10,0.75,15,1,
AFRO:NIGERIA:ABIA,2006,10,9,0.75,15,1,
AFRO:NIGERIA:AKWA_IBOM,2006,10,9,0.75,15,1,
AFRO:NIGERIA:ANAMBRA,2006,10,9,0.75,15,1,
AFRO:NIGERIA:BAYELSA,2006,10,9,0.75,15,1,
AFRO:NIGERIA:CROSS_RIVER,2006,10,9,0.75,15,1,
AFRO:NIGERIA:DELTA,2006,10,9,0.75,15,1,
AFRO:NIGERIA:EBONYI,2006,10,9,0.75,15,1,
AFRO:NIGERIA:EDO,2006,10,9,0.75,15,1,
AFRO:NIGERIA:EKITI,2006,10,9,0.75,15,1,
AFRO:NIGERIA:ENUGU,2006,10,9,0.75,15,1,
AFRO:NIGERIA:IMO,2006,10,9,0.75,15,1,
AFRO:NIGERIA:LAGOS,2006,10,9,0.75,15,1,
AFRO:NIGERIA:OGUN,2006,10,9,0.75,15,1,
AFRO:NIGERIA:ONDO,2006,10,9,0.75,15,1,
AFRO:NIGERIA:OSUN,2006,10,9,0.75,15,1,
AFRO:NIGERIA:OYO,2006,10,9,0.75,15,1,
AFRO:NIGERIA:RIVERS,2006,10,9,0.75,15,1,
AFRO:NIGERIA,2008,12,15,0.75,5,1,
AFRO:NIGERIA:ADAMAWA,2011,1,30,0.75,5,1,
AFRO:NIGERIA:BAUCHI,2011,1,30,0.75,5,1,
AFRO:NIGERIA:BENUE,2011,1,30,0.75,5,1,
AFRO:NIGERIA:BORNO,2011,1,30,0.75,5,1,
AFRO:NIGERIA:FCT_ABUJA,2011,1,30,0.75,5,1,
AFRO:NIGERIA:GOMBE,2011,1,30,0.75,5,1,
AFRO:NIGERIA:JIGAWA,2011,1,30,0.75,5,1,
AFRO:NIGERIA:KADUNA,2011,1,30,0.75,5,1,
AFRO:NIGERIA:KANO,2011,1,30,0.75,5,1,
AFRO:NIGERIA:KATSINA,2011,1,30,0.75,5,1,
AFRO:NIGERIA:KEBBI,2011,1,30,0.75,5,1,
AFRO:NIGERIA:KOGI,2011,1,30,0.75,5,1,
AFRO:NIGERIA:KWARA,2011,1,30,0.75,5,1,
AFRO:NIGERIA:NASARAWA,2011,1,30,0.75,5,1,
AFRO:NIGERIA:NIGER,2011,1,30,0.75,5,1,
AFRO:NIGERIA:PLATEAU,2011,1,30,0.75,5,1,
AFRO:NIGERIA:SOKOTO,2011,1,30,0.75,5,1,
AFRO:NIGERIA:TARABA,2011,1,30,0.75,5,1,
AFRO:NIGERIA:YOBE,2011,1,30,0.75,5,1,
AFRO:NIGERIA:ZAMFARA,2011,1,30,0.75,5,1,
AFRO:NIGERIA:ABIA,2011,2,23,0.75,5,1,
AFRO:NIGERIA:AKWA_IBOM,2011,2,23,0.75,5,1,
AFRO:NIGERIA:ANAMBRA,2011,2,23,0.75,5,1,
AFRO:NIGERIA:BAYELSA,2011,2,23,0.75,5,1,
AFRO:NIGERIA:CROSS_RIVER,2011,2,23,0.75,5,1,
AFRO:NIGERIA:DELTA,2011,2,23,0.75,5,1,
AFRO:NIGERIA:EBONYI,2011,2,23,0.75,5,1,
AFRO:NIGERIA:EDO,2011,2,23,0.75,5,1,
AFRO:NIGERIA:EKITI,2011,2,23,0.75,5,1,
AFRO:NIGERIA:ENUGU,2011,2,23,0.75,5,1,
AFRO:NIGERIA:IMO,2011,2,23,0.75,5,1,
AFRO:NIGERIA:LAGOS,2011,2,23,0.75,5,1,
AFRO:NIGERIA:OGUN,2011,2,23,0.75,5,1,
AFRO:NIGERIA:ONDO,2011,2,23,0.75,5,1,
AFRO:NIGERIA:OSUN,2011,2,23,0.75,5,1,
AFRO:NIGERIA:OYO,2011,2,23,0.75,5,1,
AFRO:NIGERIA:RIVERS,2011,2,23,0.75,5,1,
AFRO:NIGERIA:ADAMAWA,2013,10,9,0.75,5,1,
AFRO:NIGERIA:BAUCHI,2013,10,9,0.75,5,1,
AFRO:NIGERIA:BENUE,2013,10,9,0.75,5,1,
AFRO:NIGERIA:BORNO,2013,10,9,0.75,5,1,
AFRO:NIGERIA:FCT_ABUJA,2013,10,9,0.75,5,1,
AFRO:NIGERIA:GOMBE,2013,10,9,0.75,5,1,
AFRO:NIGERIA:JIGAWA,2013,10,9,0.75,5,1,
AFRO:NIGERIA:KADUNA,2013,10,9,0.75,5,1,
AFRO:NIGERIA:KANO,2013,10,9,0.75,5,1,
AFRO:NIGERIA:KATSINA,2013,10,9,0.75,5,1,
AFRO:NIGERIA:KEBBI,2013,10,9,0.75,5,1,
AFRO:NIGERIA:KOGI,2013,10,9,0.75,5,1,
AFRO:NIGERIA:KWARA,2013,10,9,0.75,5,1,
AFRO:NIGERIA:NASARAWA,2013,10,9,0.75,5,1,
AFRO:NIGERIA:NIGER,2013,10,9,0.75,5,1,
AFRO:NIGERIA:PLATEAU,2013,10,9,0.75,5,1,
AFRO:NIGERIA:SOKOTO,2013,10,9,0.75,5,1,
AFRO:NIGERIA:TARABA,2013,10,9,0.75,5,1,
AFRO:NIGERIA:YOBE,2013,10,9,0.75,5,1,
AFRO:NIGERIA:ZAMFARA,2013,10,9,0.75,5,1,
AFRO:NIGERIA:ABIA,2013,11,6,0.75,5,1,
AFRO:NIGERIA:AKWA_IBOM,2013,11,6,0.75,5,1,
AFRO:NIGERIA:ANAMBRA,2013,11,6,0.75,5,1,
AFRO:NIGERIA:BAYELSA,2013,11,6,0.75,5,1,
AFRO:NIGERIA:CROSS_RIVER,2013,11,6,0.75,5,1,
AFRO:NIGERIA:DELTA,2013,11,6,0.75,5,1,
AFRO:NIGERIA:EBONYI,2013,11,6,0.75,5,1,
AFRO:NIGERIA:EDO,2013,11,6,0.75,5,1,
AFRO:NIGERIA:EKITI,2013,11,6,0.75,5,1,
AFRO:NIGERIA:ENUGU,2013,11,6,0.75,5,1,
AFRO:NIGERIA:IMO,2013,11,6,0.75,5,1,
AFRO:NIGERIA:LAGOS,2013,11,6,0.75,5,1,
AFRO:NIGERIA:OGUN,2013,11,6,0.75,5,1,
AFRO:NIGERIA:ONDO,2013,11,6,0.75,5,1,
AFRO:NIGERIA:OSUN,2013,11,6,0.75,5,1,
AFRO:NIGERIA:OYO,2013,11,6,0.75,5,1,
AFRO:NIGERIA:RIVERS,2013,11,6,0.75,5,1,
AFRO:NIGERIA:ADAMAWA,2015,11,25,0.75,5,1,
AFRO:NIGERIA:BAUCHI,2015,11,25,0.75,5,1,
AFRO:NIGERIA:BENUE,2015,11,25,0.75,5,1,
AFRO:NIGERIA:BORNO,2015,11,25,0.75,5,1,
AFRO:NIGERIA:FCT_ABUJA,2015,11,25,0.75,5,1,
AFRO:NIGERIA:GOMBE,2015,11,25,0.75,5,1,
AFRO:NIGERIA:JIGAWA,2015,11,25,0.75,5,1,
AFRO:NIGERIA:KADUNA,2015,11,25,0.75,5,1,
AFRO:NIGERIA:KANO,2015,11,25,0.75,5,1,
AFRO:NIGERIA:KATSINA,2015,11,25,0.75,5,1,
AFRO:NIGERIA:KEBBI,2015,11,25,0.75,5,1,
AFRO:NIGERIA:KOGI,2015,11,25,0.75,5,1,
AFRO:NIGERIA:KWARA,2015,11,25,0.75,5,1,
AFRO:NIGERIA:NASARAWA,2015,11,25,0.75,5,1,
AFRO:NIGERIA:NIGER,2015,11,25,0.75,5,1,
AFRO:NIGERIA:PLATEAU,2015,11,25,0.75,5,1,
AFRO:NIGERIA:SOKOTO,2015,11,25,0.75,5,1,
AFRO:NIGERIA:TARABA,2015,11,25,0.75,5,1,
AFRO:NIGERIA:YOBE,2015,11,25,0.75,5,1,
AFRO:NIGERIA:ZAMFARA,2015,11,25,0.75,5,1,
AFRO:NIGERIA:ABIA,2016,2,1,0.75,5,1,
AFRO:NIGERIA:AKWA_IBOM,2016,2,1,0.75,5,1,
AFRO:NIGERIA:ANAMBRA,2016,2,1,0.75,5,1,
AFRO:NIGERIA:BAYELSA,2016,2,1,0.75,5,1,
AFRO:NIGERIA:CROSS_RIVER,2016,2,1,0.75,5,1,
AFRO:NIGERIA:DELTA,2016,2,1,0.75,5,1,
AFRO:NIGERIA:EBONYI,2016,2,1,0.75,5,1,
AFRO:NIGERIA:EDO,2016,2,1,0.75,5,1,
AFRO:NIGERIA:EKITI,2016,2,1,0.75,5,1,
AFRO:NIGERIA:ENUGU,2016,2,1,0.75,5,1,
AFRO:NIGERIA:IMO,2016,2,1,0.75,5,1,
AFRO:NIGERIA:LAGOS,2016,2,1,0.75,5,1,
AFRO:NIGERIA:OGUN,2016,2,1,0.75,5,1,
AFRO:NIGERIA:ONDO,2016,2,1,0.75,5,1,
AFRO:NIGERIA:OSUN,2016,2,1,0.75,5,1,
AFRO:NIGERIA:OYO,2016,2,1,0.75,5,1,
AFRO:NIGERIA:RIVERS,2016,2,1,0.75,5,1,
AFRO:NIGERIA:ADAMAWA:FUFORE,2017,2,6,0.5,10,1,
AFRO:NIGERIA:ADAMAWA:GIREI,2017,2,6,0.5,10,1,
AFRO:NIGERIA:ADAMAWA:MUBI_NORTH,2017,2,6,0.5,10,1,
AFRO:NIGERIA:ADAMAWA:MUBI_SOUTH,2017,2,6,0.5,10,1,
AFRO:NIGERIA:ADAMAWA:YOLA_NORTH,2017,2,6,0.5,10,1,
AFRO:NIGERIA:ADAMAWA:YOLA_SOUTH,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:ASKIRA_UBA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:BAMA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:BAYO,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:BIU,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:CHIBOK,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:DAMBOA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:DIKWA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:GUBIO,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:GUZAMALA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:GWOZA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:HAWUL,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:JERE,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:KAGA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:KONDUGA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:KUKAWA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:KWAYA_KUSAR,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:MAFA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:MAGUMERI,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:MAIDUGURI,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:MOBBAR,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:MONGUNO,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:NGALA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:NGANZAI,2017,2,6,0.5,10,1,
AFRO:NIGERIA:BORNO:SHANI,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:BADE,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:BURSARI,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:DAMATURU,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:FIKA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:FUNE,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:GEIDAM,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:GUJBA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:GULANI,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:KARASUWA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:MACHINA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:NANGERE,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:NGURU,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:POTISKUM,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:TARMUWA,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:YUNUSARI,2017,2,6,0.5,10,1,
AFRO:NIGERIA:YOBE:YUSUFARI,2017,2,6,0.5,10,1,
AFRO:NIGERIA:JIGAWA,2017,11,21,0.75,5,1,
AFRO:NIGERIA:KADUNA,2017,11,22,0.75,5,1,
AFRO:NIGERIA:KANO,2017,11,25,0.75,5,1,
AFRO:NIGERIA:KATSINA,2017,11,21,0.75,5,1,
AFRO:NIGERIA:KEBBI,2017,11,24,0.75,5,1,
AFRO:NIGERIA:SOKOTO,2017,12,16,0.75,5,1,
AFRO:NIGERIA:ZAMFARA,2017,11,21,0.75,5,1,
AFRO:NIGERIA:ADAMAWA,2017,12,21,0.75,5,1,
AFRO:NIGERIA:BAUCHI,2017,12,9,0.75,5,1,
AFRO:NIGERIA:BORNO,2017,12,13,0.75,5,1,
AFRO:NIGERIA:GOMBE,2017,12,11,0.75,5,1,
AFRO:NIGERIA:TARABA,2017,12,14,0.75,5,1,
AFRO:NIGERIA:YOBE,2017,12,11,0.75,5,1,
AFRO:NIGERIA:BENUE,2018,3,20,0.75,5,1,
AFRO:NIGERIA:FCT_ABUJA,2018,3,22,0.75,5,1,
AFRO:NIGERIA:KOGI,2018,3,21,0.75,5,1,
AFRO:NIGERIA:KWARA,2018,3,13,0.75,5,1,
AFRO:NIGERIA:NASARAWA,2018,3,20,0.75,5,1,
AFRO:NIGERIA:NIGER,2018,2,25,0.75,5,1,
AFRO:NIGERIA:PLATEAU,2018,3,20,0.75,5,1,
AFRO:NIGERIA:ABIA,2018,3,20,0.75,5,1,
AFRO:NIGERIA:ANAMBRA,2018,3,20,0.75,5,1,
AFRO:NIGERIA:EBONYI,2018,3,20,0.75,5,1,
AFRO:NIGERIA:ENUGU,2018,3,23,0.75,5,1,
AFRO:NIGERIA:IMO,2018,3,20,0.75,5,1,
AFRO:NIGERIA:AKWA_IBOM,2018,3,13,0.75,5,1,
AFRO:NIGERIA:BAYELSA,2018,3,13,0.75,5,1,
AFRO:NIGERIA:CROSS_RIVER,2018,3,15,0.75,5,1,
AFRO:NIGERIA:DELTA,2018,3,13,0.75,5,1,
AFRO:NIGERIA:EDO,2018,3,21,0.75,5,1,
AFRO:NIGERIA:RIVERS,2018,3,21,0.75,5,1,
