LOCATION,DATE_YEAR,DATE_MONTH,DATE_DAY,AGE_MIN,AGE_MAX,FRACTION,NOTES
AFRO:DRCONGO:KASAI_ORIENTAL,2002,12,17,0.5,15,1,
AFRO:DRCONGO:LOMAMI,2002,12,17,0.5,15,1,
AFRO:DRCONGO:NORD_KIVU,2002,12,17,0.5,15,1,
AFRO:DRCONGO:SANKURU,2002,12,17,0.5,15,1,
AFRO:DRCONGO:HAUT_KATANGA,2004,10,10,0.5,15,1,
AFRO:DRCONGO:HAUT_LOMAMI,2004,10,10,0.5,15,1,
AFRO:DRCONGO:KASAI,2004,10,10,0.5,15,1,
AFRO:DRCONGO:KASAI_CENTRAL,2004,10,10,0.5,15,1,
AFRO:DRCONGO:LUALABA,2004,10,10,0.5,15,1,
AFRO:DRCONGO:MANIEMA,2004,10,10,0.5,15,1,
AFRO:DRCONGO:SUD_KIVU,2004,10,10,0.5,15,1,
AFRO:DRCONGO:TANGANYIKA,2004,10,10,0.5,15,1,
AFRO:DRCONGO:BAS_UELE,2005,10,10,0.5,15,1,
AFRO:DRCONGO:EQUATEUR,2005,10,10,0.5,15,1,
AFRO:DRCONGO:HAUT_UELE,2005,10,10,0.5,15,1,
AFRO:DRCONGO:ITURI,2005,10,10,0.5,15,1,
AFRO:DRCONGO:MONGALA,2005,10,10,0.5,15,1,
AFRO:DRCONGO:NORD_UBANGI,2005,10,10,0.5,15,1,
AFRO:DRCONGO:SUD_UBANGI,2005,10,10,0.5,15,1,
AFRO:DRCONGO:TSHOPO,2005,10,10,0.5,15,1,
AFRO:DRCONGO:TSHUAPA,2005,10,10,0.5,15,1,
AFRO:DRCONGO:KASAI_ORIENTAL,2006,5,1,0.5,5,1,
AFRO:DRCONGO:LOMAMI,2006,5,1,0.5,5,1,
AFRO:DRCONGO:SANKURU,2006,5,1,0.5,5,1,
AFRO:DRCONGO:NORD_KIVU,2006,10,1,0.5,5,1,
AFRO:DRCONGO:KINSHASA,2006,11,1,0.5,15,1,
AFRO:DRCONGO:KWANGO,2006,11,1,0.5,15,1,
AFRO:DRCONGO:KWILU,2006,11,1,0.5,15,1,
AFRO:DRCONGO:MAI_NDOMBE,2006,11,1,0.5,15,1,
AFRO:DRCONGO:KONGO_CENTRAL,2006,12,1,0.5,15,1,
AFRO:DRCONGO:HAUT_KATANGA,2007,9,1,0.5,5,1,
AFRO:DRCONGO:HAUT_LOMAMI,2007,9,1,0.5,5,1,
AFRO:DRCONGO:KASAI,2007,9,1,0.5,5,1,
AFRO:DRCONGO:KASAI_CENTRAL,2007,9,1,0.5,5,1,
AFRO:DRCONGO:LUALABA,2007,9,1,0.5,5,1,
AFRO:DRCONGO:MANIEMA,2007,9,1,0.5,5,1,
AFRO:DRCONGO:SUD_KIVU,2007,9,1,0.5,5,1,
AFRO:DRCONGO:TANGANYIKA,2007,9,1,0.5,5,1,
AFRO:DRCONGO:BAS_UELE,2008,11,29,0.5,5,1,
AFRO:DRCONGO:EQUATEUR,2008,11,29,0.5,5,1,
AFRO:DRCONGO:HAUT_UELE,2008,11,29,0.5,5,1,
AFRO:DRCONGO:ITURI,2008,11,29,0.5,5,1,
AFRO:DRCONGO:MONGALA,2008,11,29,0.5,5,1,
AFRO:DRCONGO:NORD_UBANGI,2008,11,29,0.5,5,1,
AFRO:DRCONGO:SUD_UBANGI,2008,11,29,0.5,5,1,
AFRO:DRCONGO:TSHOPO,2008,11,29,0.5,5,1,
AFRO:DRCONGO:TSHUAPA,2008,11,29,0.5,5,1,
AFRO:DRCONGO:KINSHASA,2009,11,14,0.5,5,1,
AFRO:DRCONGO:KONGO_CENTRAL,2009,11,14,0.5,5,1,
AFRO:DRCONGO:NORD_KIVU,2009,11,14,0.5,5,1,
AFRO:DRCONGO:KWANGO,2010,1,24,0.5,5,1,
AFRO:DRCONGO:KWILU,2010,1,24,0.5,5,1,
AFRO:DRCONGO:MAI_NDOMBE,2010,1,24,0.5,5,1,
AFRO:DRCONGO:HAUT_KATANGA,2011,5,31,0.5,5,1,
AFRO:DRCONGO:HAUT_LOMAMI,2011,5,31,0.5,5,1,
AFRO:DRCONGO:LUALABA,2011,5,31,0.5,5,1,
AFRO:DRCONGO:MANIEMA,2011,5,31,0.5,5,1,
AFRO:DRCONGO:SUD_KIVU,2011,5,31,0.5,5,1,
AFRO:DRCONGO:TANGANYIKA,2011,5,31,0.5,5,1,
AFRO:DRCONGO:KASAI_ORIENTAL,2011,7,31,0.5,5,1,
AFRO:DRCONGO:LOMAMI,2011,7,31,0.5,5,1,
AFRO:DRCONGO:SANKURU,2011,7,31,0.5,5,1,
AFRO:DRCONGO:BAS_UELE,2011,9,30,0.5,5,1,
AFRO:DRCONGO:EQUATEUR,2011,9,30,0.5,5,1,
AFRO:DRCONGO:HAUT_UELE,2011,9,30,0.5,5,1,
AFRO:DRCONGO:ITURI,2011,9,30,0.5,5,1,
AFRO:DRCONGO:MONGALA,2011,9,30,0.5,5,1,
AFRO:DRCONGO:NORD_UBANGI,2011,9,30,0.5,5,1,
AFRO:DRCONGO:SUD_UBANGI,2011,9,30,0.5,5,1,
AFRO:DRCONGO:TSHOPO,2011,9,30,0.5,5,1,
AFRO:DRCONGO:TSHUAPA,2011,9,30,0.5,5,1,
AFRO:DRCONGO:KINSHASA,2011,12,31,0.5,5,1,
AFRO:DRCONGO:KONGO_CENTRAL,2012,1,31,0.5,5,1,
AFRO:DRCONGO:KWANGO,2012,1,31,0.5,5,1,
AFRO:DRCONGO:KWILU,2012,1,31,0.5,5,1,
AFRO:DRCONGO:MAI_NDOMBE,2012,1,31,0.5,5,1,
AFRO:DRCONGO:NORD_KIVU,2012,1,31,0.5,5,1,
AFRO:DRCONGO:KASAI,2012,7,31,0.5,5,1,
AFRO:DRCONGO:KASAI_CENTRAL,2012,7,31,0.5,5,1,
AFRO:DRCONGO:BAS_UELE,2013,9,28,0.5,9,1,
AFRO:DRCONGO:EQUATEUR,2013,9,28,0.5,9,1,
AFRO:DRCONGO:HAUT_UELE,2013,9,28,0.5,9,1,
AFRO:DRCONGO:ITURI,2013,9,28,0.5,9,1,
AFRO:DRCONGO:MONGALA,2013,9,28,0.5,9,1,
AFRO:DRCONGO:NORD_UBANGI,2013,9,28,0.5,9,1,
AFRO:DRCONGO:SUD_UBANGI,2013,9,28,0.5,9,1,
AFRO:DRCONGO:TSHOPO,2013,9,28,0.5,9,1,
AFRO:DRCONGO:TSHUAPA,2013,9,28,0.5,9,1,
AFRO:DRCONGO:NORD_KIVU,2013,12,14,0.5,9,1,
AFRO:DRCONGO:SUD_KIVU,2013,12,14,0.5,9,1,
AFRO:DRCONGO:HAUT_KATANGA,2014,3,22,0.5,9,1,
AFRO:DRCONGO:HAUT_LOMAMI,2014,3,22,0.5,9,1,
AFRO:DRCONGO:LUALABA,2014,3,22,0.5,9,1,
AFRO:DRCONGO:MANIEMA,2014,3,22,0.5,9,1,
AFRO:DRCONGO:TANGANYIKA,2014,3,22,0.5,9,1,
