2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
8666362,10206249,12134254,14107673,15827439,17457214,19158415,20865748,22348893,23571607,24503817,25312368,26004954
6968300,8094860,9710390,11658863,13659867,15364279,16995182,18711725,20437111,21944198,23194728,24158392,24995323
5817475,6781449,7945507,9568283,11527510,13504965,15198547,16831787,18551005,20280133,21792902,23051015,24022993
4884898,5684947,6674448,7843856,9472510,11407034,13366926,15056676,16687773,18404950,20132894,21646641,22907195
4066841,4746576,5566094,6556954,7729713,9332055,11242308,13187749,14868363,16492519,18202916,19925087,21435930
3390848,3932433,4627811,5447603,6439523,7590982,9169951,11060685,12988620,14657836,16273128,17974873,19689401
2829717,3270054,3825484,4520515,5340933,6314130,7448599,9010146,10880875,12790949,14448470,16054493,17747011
2338571,2718841,3171205,3726678,4421401,5225481,6183322,7305437,8848771,10698644,12590127,14235315,15831007
1917827,2234092,2623153,3074788,3629088,4307944,5097150,6041816,7148975,8670859,10496135,12365279,13994556
1571974,1819168,2141185,2527471,2976441,3515608,4178721,4953584,5881390,6969450,8464344,10258458,12098478
1340312,1473891,1724394,2041350,2421737,2854788,3377145,4022632,4777416,5681689,6742921,8200304,9950759
1084593,1233300,1372683,1616875,1925266,2287519,2702081,3204695,3825849,4552931,5424642,6448455,7854214
836843,967286,1116103,1252780,1486411,1774332,2114364,2505988,2980945,3568178,4256557,5082564,6054235
609735,706660,831824,970460,1099430,1309502,1569695,1879005,2235960,2669296,3205641,3835498,4592898
404871,470584,558708,667774,789010,899217,1077697,1300120,1565122,1871911,2245116,2707673,3253215
230244,271144,325389,394494,479676,571839,657380,794885,966487,1171697,1410450,1701701,2064703
104692,123902,152045,187534,232525,286239,345293,401505,490530,601989,736089,893099,1086609
33833,40749,50756,64458,81751,102986,128685,157468,185373,229099,284165,350903,430512
6982,8580,10953,14179,18575,23978,30711,38984,48366,57625,72057,90362,113097
850,1052,1368,1811,2419,3221,4223,5488,7054,8847,10645,13451,17119
62,77,99,133,179,241,324,428,562,727,919,1115,1420
