1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
943789,974171,1191255,1444702,1647401,1821529,1974568,2229109,2546172,2797001,3065073,3281272,3587524,3951959,4169435,4366542,4557788,4758992,4962176,5152698,5302384,5405012,5482766,5546527,5584115,5623499,5603752,5563824,5488560,5415542,5322606
732168,860744,898301,1107443,1338769,1543700,1705899,1877726,2135625,2458496,2700858,2974384,3205993,3515453,3888435,4111649,4313815,4509644,4714897,4921815,5115494,5268294,5373599,5453814,5519710,5559175,5600211,5582149,5543733,5469848,5398007
616003,710715,838313,876936,1075481,1307600,1504233,1675529,1848432,2107860,2418402,2659372,2941520,3168678,3479871,3854377,4080454,4285261,4483484,4690862,4899518,5094789,5249000,5355661,5437124,5504072,5544549,5586440,5569315,5531677,5458626
526815,604205,698354,822932,845001,1046676,1265981,1479740,1649393,1826075,2070429,2386827,2639715,2907907,3136850,3449331,3824815,4052701,4259185,4458895,4667461,4877148,5073257,5228331,5335814,5418056,5485748,5526946,5569487,5553073,5516189
438170,516073,592829,681433,766320,799922,963857,1233738,1440788,1618353,1767334,2031474,2369599,2590868,2860336,3091489,3405308,3781360,4011019,4219245,4420346,4630091,4840628,5037472,5193352,5301762,5384925,5453530,5495652,5539068,5523753
370017,429749,506475,576748,613765,714980,694908,935187,1195082,1407697,1552028,1728266,2018639,2315585,2538255,2808867,3041893,3356323,3732255,3963338,4172850,4375163,4585723,4796920,4994379,5150957,5260347,5344518,5414119,5457383,5501904
309005,362547,421465,492146,515799,571608,613695,676079,906364,1166060,1348731,1515474,1714888,1970058,2266062,2489745,2760862,2994830,3309127,3684427,3916294,4126799,4329861,4540979,4752588,4950472,5107730,5218054,5303227,5373967,5418530
258173,300778,353360,407846,442654,481747,487084,594967,653780,882209,1118947,1312817,1496149,1670498,1924356,2218902,2442940,2713645,2947867,3261477,3635411,3867777,4078844,4282441,4493935,4705829,4904113,5062098,5173467,5259915,5332089
213437,248769,290498,339590,368059,414201,419292,468131,573342,633590,845767,1083546,1287087,1452249,1625913,1877595,2169735,2393074,2662442,2896210,3208170,3579950,3812249,4023538,4227441,4439159,4651335,4850090,5008995,5121874,5210077
173755,203347,237743,276786,308126,343716,369975,400466,448368,552190,603674,813203,1053411,1241924,1405337,1577234,1825510,2113681,2335185,2602053,2834278,3143560,3511798,3743476,3954651,4158696,4370613,4583114,4782538,4942904,5057892
140173,162630,191123,223233,250157,285272,310662,349186,379281,427055,520886,573378,780929,1005513,1189260,1349302,1518018,1760785,2042699,2260780,2523225,2752620,3057379,3420160,3650446,3861061,4065101,4277118,4489983,4690506,4852914
109669,127441,148765,175051,198505,227092,254532,287078,324201,354443,395128,484477,539969,731802,945719,1121874,1276528,1439857,1674126,1946572,2158941,2414646,2639483,2937547,3292426,3520668,3730725,3934854,4147189,4361146,4563466
82251,94737,111157,130368,150377,173426,196011,226589,257279,293078,316741,354531,440946,490177,667312,865402,1030365,1176451,1331274,1552759,1810937,2014758,2260427,2478588,2766963,3110650,3336389,3545808,3750380,3964011,4179720
57838,65220,76302,90399,104831,122760,140551,163663,191151,219682,246490,267129,304974,379074,423755,579495,755166,903372,1036242,1177973,1380171,1617202,1807900,2038345,2246047,2519682,2846639,3067792,3275372,3480456,3694812
36510,39969,46151,54849,64504,76221,88979,105214,124387,147827,166355,186964,208188,238276,298344,335487,462090,606432,730615,844150,966587,1141099,1347584,1518713,1726307,1917843,2169449,2470609,2683234,2887166,3090433
19248,20079,22783,26936,31834,38408,45361,55114,66609,80714,93152,104896,122375,136927,158446,199984,227462,316969,420851,513169,600240,696126,832797,996980,1139209,1313137,1479689,1696927,1958248,2155299,2348343
7231,7495,8224,9618,11067,13671,16305,20705,25905,32387,37668,43591,51659,61323,69641,81565,104734,121315,172243,233097,289802,345902,409715,500885,612847,716001,844310,972569,1139478,1343479,1509015
1677,1701,1888,2162,2497,3007,3712,4752,6257,8159,9714,11301,13897,17731,21412,24710,29679,39082,46496,67864,94405,120759,148560,181506,228935,289147,349127,425081,505228,611009,742346
208,207,228,269,321,382,473,602,801,1103,1368,1621,1999,2951,3840,4725,5632,6996,9523,11745,17761,25604,34036,43576,55426,72851,96045,120944,153505,190368,239781
14,14,15,16,23,26,33,41,54,76,100,121,147,240,350,462,593,735,952,1351,1740,2747,4141,5768,7753,10366,14362,19937,26440,35416,46266
0,0,0,0,0,1,1,1,2,3,4,4,6,10,15,24,32,43,55,74,108,145,237,373,546,771,1087,1583,2318,3268,4639
