1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
54170080,67081012,73249986,80055733,86557862,94951788,103883106,115532628,121958629,124807200,127837335,129542985,128212295,118983308,116879507,116147666,114636778,111425159,106078183,100778741,96971079,94273956,91375069,88104109,84216030,80555979,77593698,74988058,72771231,70353507,67799181
44774600,49198910,61553672,67768418,74569596,81481052,90162478,99471012,111358805,118310802,121810246,125382901,127627974,126825235,117982127,116051743,115433187,114013633,110871047,105587157,100339396,96570847,93903633,91030025,87780729,83912432,80268999,77319913,74725220,72517286,70107918
42141586,42956960,47466986,59658051,66020212,73295493,80280009,88952468,98228354,110157735,117257185,120793708,124444962,126814524,126155952,117429881,115559947,114987576,113597156,110482080,105225437,100000249,96249450,93596991,90736368,87498935,83642025,80007879,77066622,74478358,72275924
38463515,40534389,41580211,46239629,58453339,65280466,72532334,79483533,88072891,97314798,109249951,116260530,119807598,123643839,126045566,125488753,116849380,115032119,114488556,113123928,110036060,104805118,99603299,95871550,93234334,90388145,87164918,83320439,79697774,76765535,74185175
34405607,36591885,38896297,40312344,45125653,57684653,64390681,71553549,78385747,86898628,96140082,107868734,114839058,118706038,122504804,125033628,124566677,116034609,114263718,113755435,112425537,109376649,104183975,99017706,95314495,92701468,89878880,86677131,82853250,79248395,76331163
30386087,32441518,34846298,37478840,39150925,44470072,56781060,63401530,70427436,77174843,85657348,94680659,106298425,113483881,117397269,121322354,123935215,123553626,115113986,113392235,112922167,111629165,108620685,103475657,98352983,94686250,92103866,89309820,86134819,82335537,78752989
26933215,28457377,30690950,33339502,36206723,38418776,43692929,55831938,62344274,69287248,76001919,84290792,93233656,104894516,112176098,116197513,120193052,122871719,122552023,114210497,112540627,112077540,110814058,107853766,102764167,97693428,94069340,91521702,88760147,85615398,81845003
23481448,24990995,26677633,29092605,31973628,35280616,37588854,42830693,54756020,61205308,68095982,74654335,82850816,91815880,103460178,110799082,114891011,118944058,121674479,121426016,113207882,111535085,111088745,109875888,106981287,101964419,96961683,93391543,90888507,88167700,85061796
20601952,21530887,23158590,25004428,27644222,30890384,34276713,36620746,41775835,53508038,59905978,66648349,73122418,81321892,90219894,101823007,109185317,113334099,117432495,120221580,120062603,111938118,110308909,109918133,108784051,105977030,101056514,96139989,92639512,90193420,87525546
16488665,18579416,19632295,21362007,23417932,26362436,29680500,33048521,35363958,40463125,51963040,58227885,64866097,71345796,79440280,88288106,99796139,107151100,111343848,115489950,118349305,118270986,110337131,108810369,108518928,107490016,104800194,100005204,95202898,91793309,89423445
14248402,14511209,16563514,17721144,19586750,21885947,24864082,28103817,31352321,33704311,38739583,49861117,55995036,62557005,68875962,76864974,85605425,96944465,104263180,108512274,112724207,115676079,115761247,108136479,106783384,106637233,105760968,103237760,98624147,93984951,90707964
9928030,12106611,12541003,14532160,15792716,17776074,20057179,22875032,25919495,29131768,31539179,36403015,47020263,52987678,59256268,65438657,73248800,81802640,92872528,100127822,104453761,108755361,111854107,112181988,105012874,103911788,103975464,103317080,101034966,96681018,92281167
8489895,7996092,9961292,10490074,12343793,13655106,15535202,17582537,20110830,23077819,26252525,28622036,33242201,43212522,48890528,54891203,60864041,68392187,76657689,87339476,94490120,98900542,103313868,106596868,107252275,100705732,99946456,100293024,99934625,97978522,93989275
4800565,6326271,6107781,7739216,8281272,9950486,11160898,12718710,14419028,16786232,19609455,22542089,24816550,29176761,38260283,43521412,49136227,54782419,61886541,69729172,79851119,86817329,91308813,95831537,99340406,100416016,94706183,94397233,95119530,95151185,93643561
3598979,3199974,4336335,4277739,5537690,6071223,7424131,8350748,9526335,11052134,13157933,15558717,18101973,20257232,24091443,31828168,36494883,41533153,46671358,53139714,60336329,69607143,76236347,80742900,85342796,89085894,90671719,86084839,86360915,87548804,88098941
2048335,2056469,1889792,2642748,2678057,3562078,3966771,4870956,5493032,6475905,7748662,9352906,11208018,13302265,15083955,18133224,24202430,28053710,32274455,36667944,42210420,48437262,56463431,62471685,66840556,71367259,75244495,77350864,74154810,75075913,76793090
940943,930932,980396,941118,1366646,1419673,1921295,2146576,2643506,3115256,3798544,4631590,5694662,7047194,8489011,9768643,11898135,16088687,18906234,22060949,25428262,29692139,34558643,40842618,45834708,49732759,53850882,57580294,60042491,58341360,59857905
326400,308475,328589,367327,366785,544826,578089,787272,880962,1137859,1390631,1743912,2185928,2817892,3531139,4341319,5073966,6280705,8628753,10317639,12259453,14392011,17122685,20299440,24451563,27975405,30942561,34169619,37278853,39644797,39283247
80118,67206,72296,83863,95905,97709,150410,159356,217949,252547,343992,437368,570138,760039,992985,1277229,1598969,1902826,2399439,3359858,4104837,4987367,5993583,7301746,8874740,10961211,12865960,14608010,16579414,18582248,20318064
16777,12109,11928,14348,17429,20541,21749,33636,35420,52284,63060,89666,118929,164885,223197,298765,385495,484616,579107,735146,1037876,1283021,1581502,1931553,2398222,2973523,3749753,4503630,5241596,6100522,7023597
0,1908,1831,2033,2661,3501,4367,4754,6972,8746,12918,16630,24166,34010,47939,66293,87253,110704,136745,161590,199559,272010,339343,417530,510660,633760,789234,999708,1224052,1453532,1720661
