1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
5778606,5918000,7189641,8557471,9906548,11295760,13207972,15638255,18442138,20542960,21896345,22739445,24022417,25893968,27962852,28309951,28308655,28303781,28678640,29170981,29138474,28697865,27924648,27351424,26785142,26258823,25587355,24715740,23881590,23095947,22438560
5037706,5182351,5444004,6733243,8105842,9459171,10878850,12801558,15150338,17879751,20065943,21414243,22323646,23599630,25499380,27586664,27972596,28005308,28027512,28423651,28934488,28921951,28500906,27746437,27189284,26637022,26123186,25462925,24601827,23776845,22998840
4326112,4856129,5034047,5318559,6607192,7987307,9368099,10812498,12699899,15010694,17770660,19924638,21288031,22173800,23451518,25358336,27450438,27844247,27883307,27911750,28312318,28827887,28821008,28405727,27657244,27105368,26557799,26048193,25392096,24535118,23713651
3761041,4181461,4724673,4916001,5203886,6501367,7973985,9437814,10741108,12493511,14947067,17598472,19805123,21095673,21975918,23271187,25187255,27282742,27680646,27724685,27757859,28161936,28680620,28677791,28266940,27523538,26975947,26432391,25926613,25274437,24421110
3248719,3604940,4038349,4576253,4762118,5080743,6552111,8178425,9366914,10414947,12460703,14692821,17428790,19500966,20772274,21687644,23005516,24929284,27023319,27427661,27478744,27517176,27925012,28446866,28448775,28043820,27306791,26764853,26226764,25726219,25079539
2812581,3108784,3475289,3904541,4428729,4643513,5122327,6718808,8104131,9072268,10401287,12227694,14510676,17101867,19158088,20466387,21411140,22738166,24659272,26751051,27161186,27218512,27262680,27674542,28200072,28207544,27809374,27080036,26544932,26013725,25519488
2409826,2686654,2991522,3357915,3781849,4318840,4628663,5186707,6638026,7891411,9043105,10224788,12060415,14235289,16818327,18893638,20222064,21173061,22498688,24415708,26502882,26918256,26982323,27032982,27449576,27979469,27993443,27603467,26883192,26356568,25833294
2047567,2292981,2576052,2882431,3246496,3680129,4272968,4636915,5109250,6466105,7834319,8882387,10064467,11835318,13997696,16576971,18653702,19981684,20932873,22256675,24167886,26248989,26670397,26742803,26801998,27224805,27760480,27783116,27404017,26695835,26179902
1682283,1936407,2185968,2469120,2773919,3145128,3620376,4246680,4547045,4957143,6384784,7667992,8713933,9862069,11615522,13762127,16321303,18383993,19705860,20656060,21976378,23878822,25950689,26379889,26463725,26534428,26965841,27509876,27545067,27181394,26489821
1403515,1575941,1829499,2077620,2357878,2667664,3069044,3568033,4135095,4388149,4858176,6208538,7476937,8501263,9633225,11362015,13477354,16001685,18038989,19349828,20296762,21609875,23498016,25555185,25995134,26094917,26182083,26626360,27182738,27236673,26895209
1136617,1295667,1468284,1715968,1959749,2241256,2570938,2986289,3436094,3953908,4248729,4673143,5990550,7230621,8230713,9337611,11024834,13092827,15561024,17558973,18851688,19791635,21092326,22957221,24992656,25447892,25571689,25683766,26147669,26723501,26805144
962377,1026050,1180561,1347571,1584967,1825542,2115590,2449672,2821836,3230171,3757460,4018303,4431328,5702498,6891900,7855837,8922246,10548009,12542135,14925178,16862921,18126889,19054550,20335158,22165917,24168017,24646580,24807048,24956819,25450354,26054969
841902,843211,907654,1052819,1210336,1437269,1676468,1960423,2255603,2584659,2986918,3456884,3704828,4098733,5279090,6395841,7304386,8309575,9840540,11722347,13977058,15823740,17043785,17952707,19205166,20984985,22938432,23454191,23669985,23876982,24415195
705051,702371,711285,772885,904481,1051429,1264006,1487644,1731347,1979530,2287391,2626423,3045453,3278568,3623324,4683761,5690292,6513225,7426454,8817700,10534800,12601140,14312705,15466231,16349421,17558093,19262351,21144257,21711499,22005603,22293744
568777,534642,540164,553676,608575,722002,850289,1032096,1210611,1407259,1621335,1869802,2149515,2512901,2705744,3001467,3892519,4743132,5445724,6230281,7427220,8913437,10712544,12227492,13283400,14119504,15256101,16843128,18608242,19232194,19622248
433084,372013,355821,364903,379457,423819,509749,606797,734160,867632,1015553,1177974,1359186,1578297,1853185,2004877,2232213,2906445,3556620,4102734,4719308,5661549,6840826,8280768,9528596,10436545,11190286,12208746,13610938,15186647,15855087
243878,231341,202272,196310,204414,216368,245881,299657,353529,433023,516044,609486,707255,824211,961863,1137006,1236285,1384022,1813358,2234138,2597062,3013920,3651067,4457497,5460804,6362511,7059980,7676240,8502124,9622210,10903353
105392,99776,95957,84766,83384,88244,94485,108516,131391,157187,192974,228491,269135,315173,364849,429519,511386,560319,632652,836962,1042557,1227464,1444529,1776338,2207283,2754752,3274387,3711193,4126178,4678399,5422653
31364,31803,30083,28871,25605,25408,26814,28747,33052,39733,46911,54478,63888,75607,85303,99916,118838,142945,158486,181196,243372,308558,370454,445231,561371,716411,920525,1129609,1324193,1523882,1792429
5972,6706,6612,6134,5816,5153,5063,5329,5687,6131,7199,7323,8381,9750,10720,12351,14665,17669,21496,24157,28043,38427,49817,61294,75932,98956,131081,175682,225838,277764,336253
0,804,953,918,821,763,668,642,664,663,680,682,689,751,840,953,1110,1320,1591,1933,2188,2544,3472,4559,5719,7228,9636,13183,18401,24860,32338
