1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
4370647,3790133,4103112,4793261,4662355,3907553,3381804,3588305,3823875,3812702,3550650,3458060,3898072,4086931,3924490,3896588,3804810,3738277,3775860,3855673,3875232,3836480,3788794,3759246,3764671,3790718,3810483,3806377,3785456,3763488,3758030
3639734,4277421,3760240,4075685,4716294,4585663,3859942,3372003,3613959,3832981,3809585,3556024,3518945,3930301,4119566,3942129,3915209,3824689,3758375,3796143,3876124,3895833,3857210,3809654,3780212,3785744,3811860,3831716,3827706,3806846,3784937
3355158,3616043,4263387,3770178,4051447,4701940,4574706,3844593,3398297,3629642,3854277,3824318,3685583,3545073,3956340,4133901,3957206,3931142,3840764,3774586,3812462,3892504,3912264,3873706,3826216,3796835,3802408,3828559,3848450,3844478,3823658
3191861,3299566,3630820,4223003,3793282,4068203,4737889,4571073,3869798,3400980,3621514,3960916,4006087,3826115,3686133,4034323,4214641,4041813,4015936,3925887,3860067,3898024,3978156,3998011,3959541,3912136,3882841,3888469,3914671,3934638,3930724
3444208,3225948,3307756,3586240,4238371,3820353,4099768,4756042,4560488,3899304,3506103,3911291,4310924,4253049,4074640,3826169,4179118,4366017,4193674,4168350,4078966,4013428,4051556,4131799,4151841,4113551,4066328,4037181,4042960,4069276,4089333
3887773,3437157,3283485,3354211,3561560,4211363,3780124,4031436,4704481,4564649,4050188,3762213,4318318,4541047,4484067,4205623,3962670,4321649,4508752,4337369,4312802,4223903,4158786,4197156,4277649,4297967,4260018,4213099,4184238,4190260,4216822
3498101,3806026,3421264,3280073,3290123,3510195,4160795,3715497,4018806,4662718,4646151,4174675,4148051,4484111,4706828,4577509,4303890,4066866,4425646,4613157,4442950,4418949,4330718,4266152,4304923,4385793,4406516,4369065,4322602,4294171,4300564
3890422,3391362,3751269,3421854,3220827,3241883,3469890,4122183,3712330,4011738,4656368,4695853,4226261,4252747,4588196,4762440,4636879,4368478,4133107,4491750,4679733,4510744,4487511,4400187,4336426,4375808,4457166,4478493,4441717,4395886,4368054
3878458,3766250,3372714,3723091,3365763,3172506,3201621,3427118,4101773,3703351,4016096,4653082,4648510,4281181,4308130,4612333,4788748,4667641,4401948,4168904,4527369,4715788,4548501,4526359,4440345,4377727,4417947,4500018,4522219,4486366,4441439
3606826,3718294,3682909,3295341,3641981,3302212,3124911,3147416,3385383,4060280,3687834,3986100,4632767,4660114,4296121,4306029,4611408,4790758,4672828,4410859,4180955,4539154,4728262,4563290,4542811,4458581,4397566,4438949,4522080,4545441,4510852
3165410,3478244,3603454,3583131,3179061,3535827,3212827,3051708,3083164,3335906,4003456,3620216,4075268,4606535,4634540,4265934,4280290,4587786,4769095,4655483,4398549,4172872,4530813,4720918,4559318,4541073,4459297,4400460,4443474,4527998,4552955
2764159,2945548,3306981,3456721,3409371,3035843,3374808,3089602,2948782,3004737,3263456,3892985,3642233,4014666,4538925,4564300,4209083,4230461,4539098,4722936,4615190,4365150,4145352,4502967,4694814,4537832,4522732,4444376,4388627,4433910,4520407
2440387,2517873,2720562,3062444,3200730,3170551,2828354,3157879,2915263,2809069,2892861,3124678,3833658,3540438,3905016,4419926,4455668,4120447,4149684,4459430,4646554,4546906,4306543,4094947,4452542,4646876,4496412,4485780,4412373,4360951,4409486
2075391,2113635,2216191,2388632,2695157,2839350,2835482,2545275,2865367,2671671,2622471,2706365,3007912,3655831,3381761,3739438,4248633,4300792,3990562,4029709,4340443,4531917,4443524,4216615,4017065,4374646,4572498,4431293,4427218,4360752,4315506
1615282,1665235,1729445,1811084,1961550,2228752,2377492,2398513,2186395,2480199,2357884,2357093,2494655,2779167,3388488,3149636,3504549,4007947,4078476,3801093,3852979,4164331,4361625,4288913,4082054,3899660,4257137,4460136,4332637,4337988,4281694
1041130,1138075,1196177,1277860,1327639,1452529,1675647,1820598,1882039,1748418,2011595,1965568,2068251,2181446,2442147,3000600,2817831,3169015,3655108,3746258,3513649,3581950,3892098,4095945,4047219,3869745,3712766,4069321,4280117,4173178,4193004
520301,605352,688629,739817,789976,845040,933332,1098694,1238006,1313953,1264729,1476921,1566788,1635087,1736567,1967541,2455317,2345650,2673899,3119993,3231215,3059629,3146862,3447666,3658241,3642764,3509104,3390963,3742510,3962272,3888022
184024,214757,261825,307887,351222,383211,420799,487278,595322,695517,754941,755461,930754,1026159,1077555,1169985,1356312,1736628,1693976,1966268,2332662,2453348,2357008,2457132,2730523,2935597,2960004,2887080,2824640,3154506,3378602
41203,50037,61378,78709,100136,117651,132239,155259,189460,241483,285983,323105,345429,444736,490577,532909,596253,715483,942461,942796,1120299,1359328,1461017,1432363,1525227,1730676,1897652,1950998,1941461,1936727,2205122
5228,6518,8423,10834,15443,20014,24452,29981,37327,47873,60548,74485,90143,101333,130083,146319,163753,190438,235820,319720,328787,401323,500209,551616,555586,607396,707822,796561,840948,859570,881016
315,433,574,799,1167,1686,2282,3102,4062,5279,6615,8544,11191,14082,15834,20008,23215,26779,31827,40055,54996,59966,73664,93676,107889,113552,126258,149664,173978,191187,203036
