,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File POP/7-1: Total population (both sexes combined) by five-year age group, region, subregion and country, 1950-2100 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medium fertility variant, 2020 - 2100",,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/POP/F07-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Total population, both sexes combined, by five-year age group (thousands)",,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1,Medium variant,WORLD,,900,World,0,2020,677941.7900 ,664439.4440 ,641267.3920 ,612195.9800 ,597387.6780 ,594692.1530 ,605530.7320 ,544818.7910 ,493788.8640 ,479366.1590 ,445772.6730 ,387849.1380 ,322141.5900 ,269643.7120 ,188677.3290 ,123781.7720 ,81930.1540 ,42186.2710 ,16680.0480 ,4133.6360 ,573.4230 
2,Medium variant,WORLD,,900,World,0,2025,676918.6670 ,672626.8720 ,661506.6890 ,638189.3960 ,608553.2330 ,594259.6570 ,590815.9560 ,599558.2160 ,537471.0170 ,485170.2870 ,468057.1940 ,430695.5800 ,367758.2660 ,296485.0660 ,236706.4640 ,154012.4790 ,89938.6210 ,49693.7640 ,19735.3960 ,5426.6520 ,857.9810 
3,Medium variant,WORLD,,900,World,0,2030,677442.3880 ,671912.3400 ,670107.5960 ,658875.4190 ,635001.4380 ,605553.4890 ,590398.1180 ,584968.3260 ,591900.8170 ,528475.4200 ,473903.3730 ,452712.0590 ,409748.1170 ,340037.8820 ,261880.7880 ,194426.9150 ,113822.1720 ,55809.5590 ,23736.5220 ,6601.5260 ,1173.1070 
