1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
30448000,34265000,38935000,44884000,51556000,59508000,69003000,79526000,90363000,100461000,112464000,127719000,145242000,160656000,175016000,189961000,203529000,216142000,226493000,234887000,241421000,245929000,249097000,251380000,252328000,251949000,250352000,248739000,245926000,242718000,239034000
23599000,26427000,30020000,34608000,40245000,46592000,54201000,63347000,73812000,83824000,93887000,106053000,121797000,140128000,156010000,170723000,185609000,199264000,211992000,222515000,231110000,237861000,242604000,246004000,248507000,249680000,249521000,248137000,246715000,244084000,241044000
20292000,22639000,25372000,28880000,33413000,38946000,45015000,52435000,61491000,71725000,81865000,91744000,103824000,119907000,138327000,154182000,168862000,183758000,197438000,210211000,220802000,229477000,236319000,241162000,244659000,247252000,248519000,248451000,247156000,245813000,243259000
17857000,19597000,21861000,24617000,28102000,32588000,38036000,44726000,51612000,60176000,70360000,80202000,90001000,102223000,118349000,136767000,152582000,167264000,182157000,195845000,208637000,219266000,227990000,234893000,239802000,243366000,246023000,247358000,247358000,246130000,244849000
15615000,17178000,18833000,21253000,23957000,27284000,31907000,37248000,43953000,50252000,58319000,68427000,78178000,87973000,99995000,116243000,134572000,150349000,165015000,179888000,193570000,206368000,217030000,225807000,232775000,237761000,241404000,244140000,245559000,245645000,244505000
13517000,14937000,16411000,18224000,20570000,23073000,26555000,30580000,36155000,42417000,48021000,56172000,66250000,75998000,85523000,97772000,113906000,132127000,147826000,162457000,177293000,190952000,203748000,214441000,223272000,230310000,235382000,239116000,241942000,243459000,243647000
11642000,12859000,14187000,15721000,17477000,19691000,22202000,25477000,29390000,34603000,40188000,45805000,53937000,64090000,73646000,83375000,95550000,111554000,129617000,145216000,159794000,174577000,188206000,200994000,211716000,220599000,227711000,232874000,236705000,239629000,241255000
9855000,10984000,12112000,13438000,14920000,16628000,18748000,21248000,24406000,27907000,32626000,38043000,43623000,51920000,61915000,71529000,81210000,93278000,109100000,126963000,142433000,156937000,171651000,185239000,198012000,208758000,217696000,224887000,230152000,234092000,237131000
8279000,9204000,10241000,11348000,12632000,14110000,15704000,17764000,20194000,22953000,26166000,30741000,35997000,41746000,49916000,59772000,69306000,78874000,90779000,106363000,123967000,139261000,153655000,168270000,181792000,194528000,205288000,214278000,221556000,226935000,231004000
6857000,7648000,8490000,9485000,10557000,11862000,13221000,14715000,16730000,18802000,21396000,24533000,28965000,34216000,39864000,47802000,57495000,66844000,76242000,87924000,103196000,120461000,135519000,149755000,164223000,177641000,190308000,201064000,210103000,217472000,222984000
5607000,6238000,6955000,7751000,8705000,9793000,10988000,12185000,13685000,15361000,17338000,19861000,22910000,27258000,32322000,37676000,45463000,54821000,63899000,73048000,84418000,99267000,116071000,130792000,144786000,159027000,172275000,184822000,195544000,204620000,212086000
4483000,4983000,5553000,6227000,6981000,7924000,8932000,9990000,11143000,12323000,13937000,15813000,18231000,21206000,25319000,29941000,35213000,42617000,51519000,60214000,69012000,79946000,94219000,110391000,124635000,138272000,152179000,165172000,177535000,188186000,197289000
3493000,3829000,4272000,4803000,5424000,6150000,7004000,7875000,8857000,9711000,10857000,12357000,14107000,16401000,19156000,22733000,27241000,32136000,39016000,47302000,55470000,63778000,74113000,87595000,102897000,116469000,129594000,143030000,155660000,167749000,178284000
2609000,2781000,3067000,3462000,3920000,4479000,5123000,5792000,6543000,7325000,8087000,9111000,10456000,12069000,14093000,16302000,19748000,23751000,28111000,34262000,41703000,49128000,56728000,66192000,78537000,92591000,105168000,117521000,130235000,142280000,153908000
1746000,1854000,1991000,2234000,2539000,2898000,3356000,3852000,4376000,4918000,5568000,6220000,7083000,8248000,9592000,11023000,13153000,16022000,19361000,23003000,28192000,34521000,40935000,47542000,55787000,66558000,78885000,90055000,101276000,112901000,124042000
989000,1042000,1118000,1234000,1395000,1600000,1871000,2170000,2524000,2856000,3264000,3776000,4269000,4932000,5801000,6595000,7906000,9499000,11659000,14184000,16933000,20926000,25866000,30968000,36249000,42872000,51568000,61616000,70868000,80453000,90480000
440000,462000,495000,552000,615000,699000,837000,975000,1161000,1347000,1560000,1840000,2163000,2474000,2888000,3294000,3964000,4794000,5806000,7206000,8855000,10632000,13302000,16679000,20246000,23951000,28641000,34864000,42160000,49003000,56398000
132000,146000,159000,178000,201000,224000,273000,326000,396000,467000,563000,685000,815000,973000,1119000,1230000,1531000,1872000,2285000,2793000,3524000,4395000,5305000,6751000,8646000,10707000,12849000,15597000,19310000,23753000,28025000
28000,29000,33000,38000,43000,48000,61000,75000,96000,112000,141000,186000,223000,267000,327000,333000,414000,522000,652000,802000,990000,1280000,1626000,1962000,2552000,3369000,4284000,5226000,6458000,8172000,10288000
4000,4000,4000,5000,6000,6000,9000,12000,16000,19000,24000,35000,44000,53000,67000,69000,78000,99000,126000,161000,199000,247000,329000,426000,506000,676000,926000,1210000,1494000,1875000,2433000
0,0,0,0,1000,1000,1000,1000,2000,2000,3000,5000,6000,9000,12000,11000,13000,15000,19000,25000,32000,40000,50000,67000,89000,103000,137000,194000,259000,321000,400000
