1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
5889000,6386000,7694000,9030000,10258000,11653000,13730000,17183000,20514000,22739000,24271000,25848000,27433000,29280000,29433000,30457000,31824000,33053000,33799000,33923000,33834000,33781000,33809000,33676000,33253000,32576000,31878000,31293000,30826000,30202000,29417000
5028000,5245000,5833000,7157000,8548000,9770000,11235000,13343000,16663000,19853000,22209000,23734000,25292000,26754000,28706000,29091000,30146000,31531000,32779000,33549000,33696000,33630000,33599000,33644000,33528000,33119000,32456000,31772000,31198000,30740000,30125000
4345000,4920000,5147000,5730000,7075000,8472000,9741000,11227000,13301000,16552000,19775000,22076000,23581000,25034000,26542000,28598000,28996000,30054000,31441000,32692000,33465000,33617000,33557000,33530000,33580000,33467000,33063000,32404000,31724000,31153000,30699000
3778000,4241000,4818000,5017000,5626000,6981000,8527000,9762000,11211000,13131000,16540000,19515000,21796000,22871000,24474000,26366000,28437000,28840000,29901000,31291000,32545000,33322000,33481000,33426000,33404000,33458000,33350000,32951000,32298000,31623000,31057000
3260000,3654000,4120000,4605000,4838000,5466000,7129000,8726000,9814000,10869000,13207000,16109000,18939000,20285000,21475000,24114000,26070000,28138000,28549000,29614000,31007000,32265000,33049000,33215000,33167000,33152000,33213000,33112000,32721000,32076000,31410000
2821000,3132000,3529000,3891000,4402000,4653000,5621000,7436000,8805000,9418000,10967000,12794000,15451000,17273000,18586000,21051000,23777000,25728000,27794000,28213000,29283000,30679000,31942000,32732000,32906000,32866000,32859000,32928000,32836000,32455000,31820000
2417000,2699000,3014000,3329000,3716000,4236000,4759000,5888000,7492000,8463000,9475000,10640000,12249000,14114000,15842000,18211000,20750000,23463000,25410000,27472000,27899000,28974000,30374000,31640000,32436000,32618000,32587000,32590000,32668000,32585000,32214000
2053000,2298000,2583000,2844000,3183000,3578000,4280000,4929000,5905000,7217000,8454000,9208000,10215000,11281000,13056000,15522000,17938000,20460000,23158000,25099000,27156000,27593000,28673000,30075000,31345000,32146000,32338000,32320000,32335000,32424000,32354000
1687000,1936000,2183000,2433000,2717000,3061000,3577000,4360000,4904000,5684000,7154000,8213000,8862000,9512000,10512000,12766000,15252000,17643000,20144000,22820000,24752000,26801000,27250000,28334000,29738000,31012000,31823000,32031000,32029000,32060000,32166000
1408000,1576000,1823000,2046000,2314000,2600000,3021000,3587000,4291000,4704000,5581000,6916000,7893000,8309000,8914000,10222000,12472000,14918000,17274000,19742000,22385000,24302000,26337000,26799000,27888000,29295000,30575000,31401000,31632000,31656000,31713000
1140000,1292000,1459000,1686000,1924000,2190000,2523000,2972000,3479000,4080000,4552000,5338000,6592000,7396000,7782000,8578000,9884000,12076000,14462000,16764000,19181000,21771000,23663000,25674000,26154000,27252000,28664000,29956000,30805000,31072000,31136000
964000,1017000,1164000,1318000,1553000,1785000,2076000,2422000,2822000,3251000,3863000,4274000,5003000,6105000,6861000,7359000,8158000,9413000,11519000,13814000,16035000,18373000,20881000,22734000,24708000,25220000,26331000,27751000,29061000,29945000,30267000
841000,822000,878000,1012000,1173000,1394000,1634000,1925000,2226000,2558000,2979000,3522000,3894000,4515000,5529000,6303000,6811000,7564000,8744000,10723000,12884000,14982000,17202000,19592000,21388000,23314000,23872000,25000000,26433000,27768000,28704000
704000,667000,663000,716000,851000,998000,1211000,1439000,1682000,1920000,2226000,2585000,3062000,3357000,3910000,4841000,5582000,6044000,6731000,7803000,9598000,11563000,13482000,15537000,17759000,19482000,21336000,21950000,23103000,24549000,25918000
566000,502000,487000,491000,551000,664000,797000,982000,1158000,1336000,1537000,1780000,2075000,2444000,2689000,3161000,3981000,4603000,5000000,5591000,6509000,8042000,9733000,11406000,13229000,15223000,16825000,18555000,19238000,20404000,21849000
427000,340000,311000,308000,327000,373000,463000,566000,691000,803000,934000,1075000,1252000,1451000,1723000,1906000,2300000,2909000,3377000,3686000,4151000,4865000,6056000,7394000,8745000,10260000,11928000,13335000,14875000,15606000,16752000
236000,198000,164000,155000,163000,176000,210000,265000,321000,385000,452000,524000,608000,702000,823000,989000,1126000,1375000,1751000,2045000,2251000,2562000,3037000,3837000,4755000,5715000,6821000,8051000,9170000,10403000,11117000
99000,77000,68000,57000,58000,63000,72000,88000,109000,128000,157000,181000,212000,240000,280000,336000,425000,488000,608000,781000,922000,1028000,1190000,1442000,1865000,2368000,2911000,3562000,4308000,5040000,5864000
28000,19000,16000,14000,13000,13000,17000,19000,22000,26000,33000,37000,43000,45000,55000,70000,91000,117000,137000,175000,228000,273000,311000,372000,466000,624000,818000,1038000,1319000,1649000,2005000
5000,3000,2000,1000,1000,1000,3000,3000,3000,2000,4000,3000,3000,2000,3000,7000,10000,13000,18000,21000,28000,37000,45000,54000,67000,88000,123000,169000,225000,301000,393000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,3000,4000,5000,7000,9000,13000,19000,27000,39000
