1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
972000,1257000,1467000,1600000,1609000,1722000,1891000,2142000,2335000,2582000,2705000,2636000,2534000,2570000,2590000,2533000,2473000,2378000,2276000,2227000,2203000,2170000,2115000,2050000,1974000,1923000,1887000,1859000,1817000,1768000,1718000
748000,924000,1211000,1432000,1571000,1586000,1709000,1883000,2150000,2345000,2609000,2735000,2692000,2551000,2581000,2596000,2540000,2480000,2385000,2283000,2234000,2210000,2178000,2123000,2058000,1982000,1931000,1895000,1867000,1825000,1776000
716000,737000,912000,1200000,1420000,1560000,1579000,1704000,1888000,2156000,2380000,2746000,2765000,2701000,2557000,2585000,2600000,2544000,2484000,2389000,2287000,2239000,2215000,2182000,2128000,2063000,1986000,1935000,1900000,1872000,1830000
570000,704000,724000,901000,1183000,1403000,1553000,1578000,1729000,1913000,2210000,2651000,2872000,2795000,2722000,2571000,2599000,2615000,2558000,2499000,2404000,2303000,2254000,2230000,2198000,2143000,2079000,2002000,1952000,1916000,1888000
508000,554000,679000,707000,872000,1151000,1392000,1553000,1642000,1795000,2001000,2457000,2894000,2950000,2849000,2757000,2607000,2635000,2651000,2595000,2536000,2442000,2341000,2292000,2269000,2237000,2182000,2117000,2041000,1991000,1955000
433000,492000,529000,661000,677000,838000,1140000,1393000,1627000,1719000,1887000,2112000,2678000,2986000,3013000,2889000,2798000,2648000,2677000,2693000,2638000,2579000,2485000,2384000,2337000,2313000,2281000,2227000,2162000,2087000,2036000
396000,417000,469000,513000,634000,649000,830000,1139000,1450000,1685000,1788000,1916000,2212000,2748000,3033000,3042000,2918000,2827000,2679000,2708000,2725000,2670000,2612000,2519000,2418000,2371000,2348000,2316000,2262000,2198000,2122000
336000,380000,397000,454000,492000,611000,641000,827000,1175000,1485000,1721000,1792000,1942000,2255000,2773000,3044000,3053000,2931000,2842000,2695000,2725000,2742000,2688000,2631000,2539000,2439000,2392000,2369000,2338000,2285000,2221000
318000,318000,360000,382000,435000,473000,600000,636000,848000,1192000,1499000,1659000,1792000,1961000,2262000,2769000,3038000,3049000,2929000,2842000,2697000,2728000,2747000,2694000,2638000,2547000,2448000,2402000,2380000,2349000,2296000
222000,297000,298000,342000,364000,417000,462000,591000,644000,854000,1193000,1437000,1598000,1789000,1951000,2244000,2746000,3015000,3028000,2912000,2828000,2686000,2719000,2739000,2689000,2634000,2544000,2447000,2402000,2381000,2351000
191000,201000,271000,277000,321000,343000,401000,449000,587000,641000,848000,1148000,1370000,1576000,1760000,1917000,2207000,2703000,2972000,2989000,2878000,2799000,2662000,2697000,2719000,2671000,2618000,2531000,2437000,2393000,2373000
134000,165000,176000,244000,252000,295000,322000,382000,437000,570000,627000,837000,1092000,1328000,1525000,1704000,1861000,2148000,2636000,2904000,2926000,2824000,2751000,2621000,2660000,2684000,2640000,2591000,2507000,2416000,2375000
136000,108000,137000,151000,213000,222000,266000,296000,358000,413000,538000,609000,809000,1033000,1256000,1445000,1623000,1780000,2061000,2538000,2805000,2836000,2745000,2681000,2560000,2604000,2633000,2594000,2549000,2470000,2383000
105000,98000,82000,109000,122000,176000,189000,231000,263000,322000,373000,476000,574000,740000,943000,1151000,1336000,1510000,1665000,1939000,2400000,2666000,2708000,2632000,2580000,2472000,2522000,2556000,2524000,2487000,2415000
93000,64000,64000,57000,79000,92000,137000,150000,189000,218000,269000,312000,396000,496000,640000,820000,1015000,1190000,1357000,1510000,1773000,2210000,2473000,2529000,2472000,2436000,2344000,2402000,2444000,2422000,2393000
60000,45000,34000,38000,36000,52000,63000,98000,109000,140000,164000,206000,239000,313000,397000,514000,674000,845000,1004000,1160000,1307000,1551000,1956000,2209000,2278000,2245000,2228000,2158000,2226000,2276000,2268000
24000,21000,18000,16000,19000,19000,30000,38000,61000,68000,88000,119000,138000,164000,217000,279000,372000,497000,637000,770000,906000,1038000,1254000,1604000,1836000,1918000,1912000,1917000,1875000,1954000,2013000
8000,5000,5000,6000,6000,7000,9000,14000,19000,30000,33000,56000,77000,74000,92000,122000,164000,225000,310000,407000,505000,609000,715000,883000,1154000,1346000,1430000,1450000,1476000,1465000,1551000
2000,1000,1000,1000,1000,1000,2000,3000,6000,7000,11000,16000,35000,29000,30000,38000,53000,73000,105000,149000,202000,259000,322000,390000,498000,669000,799000,870000,903000,940000,953000
0,0,0,0,0,0,0,1000,1000,2000,2000,3000,9000,9000,8000,8000,10000,15000,22000,33000,48000,68000,91000,118000,148000,196000,272000,335000,376000,403000,433000
0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,3000,4000,6000,10000,15000,20000,27000,36000,50000,72000,93000,110000,124000
