"X","country","age","year","care_setting","predicted_cfr","predicted_cfr_lb","predicted_cfr_ub"
1,"AFG",0,2019,"community",0.0284145571011733,0.0264252529621779,0.0305928274400069
2,"AFG",0.0833333333333333,2019,"community",0.0259737716342528,0.0242292853519403,0.027892896643937
3,"AFG",0.166666666666667,2019,"community",0.0239848400111313,0.0220685345955129,0.0260122565075835
4,"AFG",0.25,2019,"community",0.022375847982731,0.0203051920990503,0.0245047752177978
5,"AFG",0.333333333333333,2019,"community",0.021090594514192,0.0190330063720434,0.0232913902091194
6,"AFG",0.416666666666667,2019,"community",0.0200855915243929,0.0180614631479859,0.0222841286113587
7,"AFG",0.5,2019,"community",0.0193277785239096,0.0174482049943404,0.0214592334740525
8,"AFG",0.583333333333333,2019,"community",0.0187928130403515,0.0170783672222037,0.0207331509928685
9,"AFG",0.666666666666667,2019,"community",0.0184638306559386,0.016973527400285,0.0201422986634697
10,"AFG",0.75,2019,"community",0.0182644535065934,0.017039639818809,0.0196593123560206
11,"AFG",0.833333333333333,2019,"community",0.0180555530215531,0.0169242828995781,0.0193677784146251
12,"AFG",0.916666666666667,2019,"community",0.0178334733192689,0.0167071991146402,0.0192323550648239
13,"AFG",1,2019,"community",0.0175987517436936,0.0164403264441221,0.019018367785513
14,"AFG",1.08333333333333,2019,"community",0.0173519516068497,0.0161732463327742,0.0187588686643598
15,"AFG",1.16666666666667,2019,"community",0.0170936600005328,0.0159501326439281,0.0185413758288382
16,"AFG",1.25,2019,"community",0.0168244855326141,0.0157037418763219,0.0182702796097177
17,"AFG",1.33333333333333,2019,"community",0.0165457333710501,0.0154441744064715,0.0179459974255921
18,"AFG",1.41666666666667,2019,"community",0.016272657799968,0.0151976509775489,0.0176220651049733
19,"AFG",1.5,2019,"community",0.0160110279712402,0.0149605645251983,0.0173014668695393
20,"AFG",1.58333333333333,2019,"community",0.0157604414095617,0.0147440615194319,0.0170219806191149
21,"AFG",1.66666666666667,2019,"community",0.0155205156423429,0.0145396962152657,0.0167444497230606
22,"AFG",1.75,2019,"community",0.0152908872894215,0.0143304083964636,0.0164717089868075
23,"AFG",1.83333333333333,2019,"community",0.0150712112023495,0.014130857840663,0.0162120732834678
24,"AFG",1.91666666666667,2019,"community",0.0148611596507957,0.013963197121876,0.0159773452573161
25,"AFG",2,2019,"community",0.0146604215537294,0.0137848231890407,0.0157505395186809
