AFRO:GHANA:AHAFO
AFRO:GHANA:ASHANTI
AFRO:GHANA:BONO
AFRO:GHANA:BONO_EAST
AFRO:GHANA:CENTRAL
AFRO:GHANA:EASTERN
AFRO:GHANA:GREATER_ACCRA
AFRO:GHANA:NORTHERN
AFRO:GHANA:NORTHERN_EAST
AFRO:GHANA:OTI
AFRO:GHANA:SAVANNAH
AFRO:GHANA:UPPER_EAST
AFRO:GHANA:UPPER_WEST
AFRO:GHANA:VOLTA
AFRO:GHANA:WESTERN
AFRO:GHANA:WESTERN_NORTH
