AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH
AFRO:GHANA:AHAFO:ASUTIFI_NORTH
AFRO:GHANA:AHAFO:ASUTIFI_SOUTH
AFRO:GHANA:AHAFO:TANO_NORTH_MUNICIPAL
AFRO:GHANA:AHAFO:TANO_SOUTH_MUNICIPAL
AFRO:GHANA:ASHANTI:ADANSI_AKROFUOM
AFRO:GHANA:ASHANTI:ADANSI_ASOKWA
AFRO:GHANA:ASHANTI:ADANSI_NORTH
AFRO:GHANA:ASHANTI:ADANSI_SOUTH
AFRO:GHANA:ASHANTI:AFIGYA_KWABRE_NORTH
AFRO:GHANA:ASHANTI:AFIGYA_KWABRE_SOUTH
AFRO:GHANA:ASHANTI:AHAFO_ANO_NORTH
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_EAST
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_WEST
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL
AFRO:GHANA:ASHANTI:AMANSIE_SOUTH
AFRO:GHANA:ASHANTI:AMANSIE_WEST
AFRO:GHANA:ASHANTI:ASANTE_AKIM_CENTRAL_MUNICIPAL
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH
AFRO:GHANA:ASHANTI:ASOKORE_MAMPONG_MUNICIPAL
AFRO:GHANA:ASHANTI:ASOKWA_MUNICIPAL
AFRO:GHANA:ASHANTI:ATWIMA_KWANWOMA
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_NORTH
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_SOUTH
AFRO:GHANA:ASHANTI:BEKWAI_MUNICIPAL
AFRO:GHANA:ASHANTI:BOSOME_FREHO
AFRO:GHANA:ASHANTI:BOSOMTWE
AFRO:GHANA:ASHANTI:EJISU_MUNICIPAL
AFRO:GHANA:ASHANTI:EJURA_SEKYEDUMASE
AFRO:GHANA:ASHANTI:JUABEN_MUNICIPAL
AFRO:GHANA:ASHANTI:KUMASI_METROPOLITAN
AFRO:GHANA:ASHANTI:KWABRE_EAST
AFRO:GHANA:ASHANTI:KWADASO_MUNICIPAL
AFRO:GHANA:ASHANTI:MAMPONG_MUNICIPAL
AFRO:GHANA:ASHANTI:OBUASI_EAST
AFRO:GHANA:ASHANTI:OBUASI_MUNICIPAL
AFRO:GHANA:ASHANTI:OFFINSO_MUNICIPAL
AFRO:GHANA:ASHANTI:OFFINSO_NORTH
AFRO:GHANA:ASHANTI:OFORIKROM_MUNICIPAL
AFRO:GHANA:ASHANTI:OLD_TAFO_MUNICIPAL
AFRO:GHANA:ASHANTI:SEKYERE_AFRAM_PLAINS_NORTH
AFRO:GHANA:ASHANTI:SEKYERE_CENTRAL
AFRO:GHANA:ASHANTI:SEKYERE_EAST
AFRO:GHANA:ASHANTI:SEKYERE_KUMAWU
AFRO:GHANA:ASHANTI:SEKYERE_SOUTH
AFRO:GHANA:ASHANTI:SUAME_MUNICIPAL
AFRO:GHANA:BONO:BANDA
AFRO:GHANA:BONO:BEREKUM_EAST_MUNICIPAL
AFRO:GHANA:BONO:BEREKUM_WEST
AFRO:GHANA:BONO:DORMAA_EAST
AFRO:GHANA:BONO:DORMAA_MUNICIPAL
AFRO:GHANA:BONO:DORMAA_WEST
AFRO:GHANA:BONO:JAMAN_NORTH
AFRO:GHANA:BONO:JAMAN_SOUTH_MUNICIPAL
AFRO:GHANA:BONO:SUNYANI_MUNICIPAL
AFRO:GHANA:BONO:SUNYANI_WEST
AFRO:GHANA:BONO:TAIN
AFRO:GHANA:BONO:WENCHI_MUNICIPAL
AFRO:GHANA:BONO_EAST:ATEBUBU_AMANTIN
AFRO:GHANA:BONO_EAST:KINTAMPO_NORTH_MUNICIPAL
AFRO:GHANA:BONO_EAST:KINTAMPO_SOUTH
AFRO:GHANA:BONO_EAST:NKORANZA_NORTH
AFRO:GHANA:BONO_EAST:NKORANZA_SOUTH
AFRO:GHANA:BONO_EAST:PRU_EAST
AFRO:GHANA:BONO_EAST:PRU_WEST
AFRO:GHANA:BONO_EAST:SENE_EAST
AFRO:GHANA:BONO_EAST:SENE_WEST
AFRO:GHANA:BONO_EAST:TECHIMAN_MUNICIPAL
AFRO:GHANA:BONO_EAST:TECHIMAN_NORTH
AFRO:GHANA:CENTRAL:ABURA_ASEBU_KWAMANKESE
AFRO:GHANA:CENTRAL:AGONA_EAST
AFRO:GHANA:CENTRAL:AGONA_WEST_MUNICIPAL
AFRO:GHANA:CENTRAL:AJUMAKO_ENYAN_ESSIAM
AFRO:GHANA:CENTRAL:ASIKUMA_ODOBEN_BRAKWA
AFRO:GHANA:CENTRAL:ASSIN_FOSU
AFRO:GHANA:CENTRAL:ASSIN_NORTH
AFRO:GHANA:CENTRAL:ASSIN_SOUTH
AFRO:GHANA:CENTRAL:AWUTU_SENYA
AFRO:GHANA:CENTRAL:AWUTU_SENYA_EAST
AFRO:GHANA:CENTRAL:CAPE_COAST_METROPOLITAN
AFRO:GHANA:CENTRAL:EFFUTU_MUNICIPAL
AFRO:GHANA:CENTRAL:EKUMFI
AFRO:GHANA:CENTRAL:GOMOA_CENTRAL
AFRO:GHANA:CENTRAL:GOMOA_EAST
AFRO:GHANA:CENTRAL:GOMOA_WEST
AFRO:GHANA:CENTRAL:KOMENDA_EDINA_EGUAFO_ABIREM_MUNICIPAL
AFRO:GHANA:CENTRAL:MFANTSEMAN_MUNICIPAL
AFRO:GHANA:CENTRAL:TWIFO_ATTI_MORKWA
AFRO:GHANA:CENTRAL:TWIFO_HEMANG_LOWER_DENKYIRA
AFRO:GHANA:CENTRAL:UPPER_DENKYIRA_EAST_MUNICIPAL
AFRO:GHANA:CENTRAL:UPPER_DENKYIRA_WEST
AFRO:GHANA:EASTERN:ABUAKWA_NORTH
AFRO:GHANA:EASTERN:ABUAKWA_SOUTH
AFRO:GHANA:EASTERN:ACHIASE
AFRO:GHANA:EASTERN:AKWAPEM_NORTH
AFRO:GHANA:EASTERN:AKWAPEM_SOUTH
AFRO:GHANA:EASTERN:AKYEM_MANSA
AFRO:GHANA:EASTERN:ASENE_AKROSO_MANSO
AFRO:GHANA:EASTERN:ASUOGYAMAN
AFRO:GHANA:EASTERN:ATIWA_EAST
AFRO:GHANA:EASTERN:ATIWA_WEST
AFRO:GHANA:EASTERN:AYENSUANO
AFRO:GHANA:EASTERN:BIRIM_CENTRAL_MUNICIPAL
AFRO:GHANA:EASTERN:BIRIM_NORTH
AFRO:GHANA:EASTERN:BIRIM_SOUTH
AFRO:GHANA:EASTERN:DENKYEMBOUR
AFRO:GHANA:EASTERN:FANTEAKWA_NORTH
AFRO:GHANA:EASTERN:FANTEAKWA_SOUTH
AFRO:GHANA:EASTERN:KWAEBIBIREM
AFRO:GHANA:EASTERN:KWAHU_AFRAM_PLAINS_NORTH
AFRO:GHANA:EASTERN:KWAHU_AFRAM_PLAINS_SOUTH
AFRO:GHANA:EASTERN:KWAHU_EAST
AFRO:GHANA:EASTERN:KWAHU_SOUTH
AFRO:GHANA:EASTERN:KWAHU_WEST
AFRO:GHANA:EASTERN:LOWER_MANYA
AFRO:GHANA:EASTERN:NEW_JUABEN_NORTH_MUNICIPAL
AFRO:GHANA:EASTERN:NEW_JUABEN_SOUTH_MUNICIPAL
AFRO:GHANA:EASTERN:NSAWAM_ADOAGYIRI
AFRO:GHANA:EASTERN:OKERE
AFRO:GHANA:EASTERN:SUHUM_MUNICIPAL
AFRO:GHANA:EASTERN:UPPER_MANYA
AFRO:GHANA:EASTERN:UPPER_WEST_AKIM
AFRO:GHANA:EASTERN:WEST_AKIM
AFRO:GHANA:EASTERN:YILO_KROBO
AFRO:GHANA:GREATER_ACCRA:ABLEKUMA_CENTRAL_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:ABLEKUMA_NORTH_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:ABLEKUMA_WEST_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:ACCRA_METROPOLIS
AFRO:GHANA:GREATER_ACCRA:ADA_EAST
AFRO:GHANA:GREATER_ACCRA:ADA_WEST
AFRO:GHANA:GREATER_ACCRA:ADENTA_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:ASHAIMAN_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:AYAWASO_CENTRAL_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:AYAWASO_EAST_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:AYAWASO_NORTH_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:AYAWASO_WEST
AFRO:GHANA:GREATER_ACCRA:GA_CENTRAL_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:GA_EAST
AFRO:GHANA:GREATER_ACCRA:GA_NORTH_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:GA_SOUTH_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:GA_WEST_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:KORLE_KLOTTEY_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:KPONE_KATAMANSO
AFRO:GHANA:GREATER_ACCRA:KROWOR_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:LA_DADE_KOTOPON
AFRO:GHANA:GREATER_ACCRA:LA_NKWANTANANG_MADINA
AFRO:GHANA:GREATER_ACCRA:LEDZOKUKU_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:NINGO_PRAMPRAM
AFRO:GHANA:GREATER_ACCRA:OKAIKWEI_NORTH_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:SHAI_OSUDOKU
AFRO:GHANA:GREATER_ACCRA:TEMA_METROPOLITAN
AFRO:GHANA:GREATER_ACCRA:TEMA_WEST_MUNICIPAL
AFRO:GHANA:GREATER_ACCRA:WEIJA_GBAWE_MUNICIPAL
AFRO:GHANA:NORTHERN:GUSHEGU
AFRO:GHANA:NORTHERN:KARAGA
AFRO:GHANA:NORTHERN:KPANDAI
AFRO:GHANA:NORTHERN:KUMBUNGU
AFRO:GHANA:NORTHERN:MION
AFRO:GHANA:NORTHERN:NANTON
AFRO:GHANA:NORTHERN:NANUMBA_NORTH
AFRO:GHANA:NORTHERN:NANUMBA_SOUTH
AFRO:GHANA:NORTHERN:SABOBA
AFRO:GHANA:NORTHERN:SAGNERIGU
AFRO:GHANA:NORTHERN:SAVELUGU
AFRO:GHANA:NORTHERN:TAMALE_METROPOLITAN
AFRO:GHANA:NORTHERN:TATALE_SANGULI
AFRO:GHANA:NORTHERN:TOLON
AFRO:GHANA:NORTHERN:YENDI_MUNICIPAL
AFRO:GHANA:NORTHERN:ZABZUGU
AFRO:GHANA:NORTHERN_EAST:BUNKPURUGU_NAKPANDURI
AFRO:GHANA:NORTHERN_EAST:CHEREPONI
AFRO:GHANA:NORTHERN_EAST:EAST_MAMPRUSI
AFRO:GHANA:NORTHERN_EAST:MAMPRUGU_MOAGDURI
AFRO:GHANA:NORTHERN_EAST:WEST_MAMPRUSI_MUNICIPAL
AFRO:GHANA:NORTHERN_EAST:YUNYOO_NASUAN
AFRO:GHANA:OTI:BIAKOYE
AFRO:GHANA:OTI:JASIKAN
AFRO:GHANA:OTI:KADJEBI
AFRO:GHANA:OTI:KRACHI_EAST_MUNICIPAL
AFRO:GHANA:OTI:KRACHI_NCHUMURU
AFRO:GHANA:OTI:KRACHI_WEST
AFRO:GHANA:OTI:NKWANTA_NORTH
AFRO:GHANA:OTI:NKWANTA_SOUTH_MUNICIPAL
AFRO:GHANA:SAVANNAH:BOLE
AFRO:GHANA:SAVANNAH:CENTRAL_GONJA
AFRO:GHANA:SAVANNAH:EAST_GONJA_MUNICIPAL
AFRO:GHANA:SAVANNAH:NORTH_EAST_GONJA
AFRO:GHANA:SAVANNAH:NORTH_GONJA
AFRO:GHANA:SAVANNAH:SAWLA_TUNA_KALBA
AFRO:GHANA:SAVANNAH:WEST_GONJA
AFRO:GHANA:UPPER_EAST:BAWKU_MUNICIPAL
AFRO:GHANA:UPPER_EAST:BAWKU_WEST
AFRO:GHANA:UPPER_EAST:BINDURI
AFRO:GHANA:UPPER_EAST:BOLGATANGA_MUNICIPAL
AFRO:GHANA:UPPER_EAST:BOLGA_EAST
AFRO:GHANA:UPPER_EAST:BONGO
AFRO:GHANA:UPPER_EAST:BUILSA_NORTH
AFRO:GHANA:UPPER_EAST:BUILSA_SOUTH
AFRO:GHANA:UPPER_EAST:GARU
AFRO:GHANA:UPPER_EAST:KASENA_NANKANA_EAST
AFRO:GHANA:UPPER_EAST:KASENA_NANKANA_WEST
AFRO:GHANA:UPPER_EAST:NABDAM
AFRO:GHANA:UPPER_EAST:PUSIGA
AFRO:GHANA:UPPER_EAST:TALENSI
AFRO:GHANA:UPPER_EAST:TEMPANE
AFRO:GHANA:UPPER_WEST:DAFFIAMA_BUSSIE_ISSA
AFRO:GHANA:UPPER_WEST:JIRAPA
AFRO:GHANA:UPPER_WEST:LAMBUSSIE_KARNI
AFRO:GHANA:UPPER_WEST:LAWRA
AFRO:GHANA:UPPER_WEST:NADOWLI_KALEO
AFRO:GHANA:UPPER_WEST:NANDOM
AFRO:GHANA:UPPER_WEST:SISSALA_EAST
AFRO:GHANA:UPPER_WEST:SISSALA_WEST
AFRO:GHANA:UPPER_WEST:WA_EAST
AFRO:GHANA:UPPER_WEST:WA_MUNICIPAL
AFRO:GHANA:UPPER_WEST:WA_WEST
AFRO:GHANA:VOLTA:ADAKLU
AFRO:GHANA:VOLTA:AFADZATO_SOUTH
AFRO:GHANA:VOLTA:AGOTIME_ZIOPE
AFRO:GHANA:VOLTA:AKATSI_NORTH
AFRO:GHANA:VOLTA:AKATSI_SOUTH
AFRO:GHANA:VOLTA:ANLOGA
AFRO:GHANA:VOLTA:CENTRAL_TONGU
AFRO:GHANA:VOLTA:HOHOE_MUNICIPAL
AFRO:GHANA:VOLTA:HO_MUNICIPAL
AFRO:GHANA:VOLTA:HO_WEST
AFRO:GHANA:VOLTA:KETA_MUNICIPAL
AFRO:GHANA:VOLTA:KETU_NORTH
AFRO:GHANA:VOLTA:KETU_SOUTH
