AFRO:GUINEA_BISSAU:BAFATA:BAFATA
AFRO:GUINEA_BISSAU:BAFATA:BAMBADINCA
AFRO:GUINEA_BISSAU:BAFATA:CONTUBOEL
AFRO:GUINEA_BISSAU:BAFATA:GALOMARO_COSSE
AFRO:GUINEA_BISSAU:BAFATA:GAMAMUDO_GANADU
AFRO:GUINEA_BISSAU:BAFATA:XITOLE
AFRO:GUINEA_BISSAU:BIOMBO:PRABIS
AFRO:GUINEA_BISSAU:BIOMBO:QUINHAMEL
AFRO:GUINEA_BISSAU:BIOMBO:SAFIM
AFRO:GUINEA_BISSAU:BISSAU:BISSAU
AFRO:GUINEA_BISSAU:BOLAMA_BIJAGOS:BOLAMA
AFRO:GUINEA_BISSAU:BOLAMA_BIJAGOS:BUBAQUE
AFRO:GUINEA_BISSAU:BOLAMA_BIJAGOS:CARAVELA
AFRO:GUINEA_BISSAU:BOLAMA_BIJAGOS:UNO
AFRO:GUINEA_BISSAU:CACHEU:BIGENE
AFRO:GUINEA_BISSAU:CACHEU:BULA
AFRO:GUINEA_BISSAU:CACHEU:CACHEU_CALEQUISSE
AFRO:GUINEA_BISSAU:CACHEU:CAIO
AFRO:GUINEA_BISSAU:CACHEU:CANCHUNGO
AFRO:GUINEA_BISSAU:CACHEU:SAO_DOMINGOS
AFRO:GUINEA_BISSAU:GABU:BOE
AFRO:GUINEA_BISSAU:GABU:GABU
AFRO:GUINEA_BISSAU:GABU:PIRADA
AFRO:GUINEA_BISSAU:GABU:PITCHE
AFRO:GUINEA_BISSAU:GABU:SONACO
AFRO:GUINEA_BISSAU:OIO:BISSORA
AFRO:GUINEA_BISSAU:OIO:FARIM
AFRO:GUINEA_BISSAU:OIO:MANSABA
AFRO:GUINEA_BISSAU:OIO:MANSOA
AFRO:GUINEA_BISSAU:OIO:NHACRA
AFRO:GUINEA_BISSAU:QUINARA:BUBA
AFRO:GUINEA_BISSAU:QUINARA:EMPADA
AFRO:GUINEA_BISSAU:QUINARA:FULACUNDA
AFRO:GUINEA_BISSAU:QUINARA:TITE
AFRO:GUINEA_BISSAU:TOMBALI:BEDANDA
AFRO:GUINEA_BISSAU:TOMBALI:CACINE
AFRO:GUINEA_BISSAU:TOMBALI:CATIO
AFRO:GUINEA_BISSAU:TOMBALI:KOMO
AFRO:GUINEA_BISSAU:TOMBALI:QUEBO
