AFRO:ETHIOPIA:ADDIS_ABABA
AFRO:ETHIOPIA:AFAR
AFRO:ETHIOPIA:AMHARA
AFRO:ETHIOPIA:BENSHANGUL_GUMAZ
AFRO:ETHIOPIA:DIRE_DAWA
AFRO:ETHIOPIA:GAMBELA
AFRO:ETHIOPIA:HARARI
AFRO:ETHIOPIA:OROMIA
AFRO:ETHIOPIA:SNNAP
AFRO:ETHIOPIA:SOMALI
AFRO:ETHIOPIA:TIGRAY
