2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
8666,10206,12134,14108,15827,17457,19158,20866,22349,23572,24504
6968,8095,9710,11659,13660,15364,16995,18712,20437,21944,23195
5817,6781,7946,9568,11528,13505,15199,16832,18551,20280,21793
4885,5685,6674,7844,9473,11407,13367,15057,16688,18405,20133
4067,4747,5566,6557,7730,9332,11242,13188,14868,16493,18203
3391,3932,4628,5448,6440,7591,9170,11061,12989,14658,16273
2830,3270,3825,4521,5341,6314,7449,9010,10881,12791,14448
2339,2719,3171,3727,4421,5225,6183,7305,8849,10699,12590
1918,2234,2623,3075,3629,4308,5097,6042,7149,8671,10496
1572,1819,2141,2527,2976,3516,4179,4954,5881,6969,8464
1340,1474,1724,2041,2422,2855,3377,4023,4777,5682,6743
1085,1233,1373,1617,1925,2288,2702,3205,3826,4553,5425
837,967,1116,1253,1486,1774,2114,2506,2981,3568,4257
610,707,832,970,1099,1310,1570,1879,2236,2669,3206
405,471,559,668,789,899,1078,1300,1565,1872,2245
230,271,325,394,480,572,657,795,966,1172,1410
105,124,152,188,233,286,345,402,491,602,736
34,41,51,64,82,103,129,157,185,229,284
7,9,11,14,19,24,31,39,48,58,72
1,1,1,2,2,3,4,5,7,9,11
0,0,0,0,0,0,0,0,1,1,1
